User ID,Age,Gender,Fitness Level,Goals,Available Equipment,Workout Plan
1,21,Male,Beginner,Weight Loss,Dumbbells,Light Cardio
2,27,Other,Advanced,Muscle Gain,None,Advanced Strength Training
3,63,Female,Advanced,Weight Loss,Dumbbells,HIIT
4,46,Other,Beginner,Flexibility,Dumbbells,Basic Yoga
5,58,Female,Beginner,Muscle Gain,Resistance Bands,Bodyweight Training
6,49,Female,Intermediate,Endurance,Resistance Bands,Jogging
7,42,Other,Intermediate,Flexibility,None,Intermediate Yoga
8,53,Other,Advanced,Endurance,Treadmill,Running
9,64,Other,Beginner,Endurance,None,Walking
10,54,Other,Beginner,Muscle Gain,Treadmill,Bodyweight Training
11,59,Male,Advanced,Endurance,Resistance Bands,Running
12,42,Female,Advanced,Muscle Gain,Treadmill,Advanced Strength Training
13,32,Male,Advanced,Weight Loss,Dumbbells,HIIT
14,31,Other,Advanced,Endurance,Resistance Bands,Running
15,36,Other,Intermediate,Flexibility,Resistance Bands,Intermediate Yoga
16,38,Female,Advanced,Muscle Gain,Resistance Bands,Advanced Strength Training
17,33,Male,Intermediate,Muscle Gain,Resistance Bands,Strength Training
18,23,Male,Advanced,Muscle Gain,None,Advanced Strength Training
19,44,Other,Beginner,Endurance,Resistance Bands,Walking
20,30,Female,Intermediate,Endurance,Treadmill,Jogging
21,64,Female,Intermediate,Weight Loss,None,Moderate Cardio
22,52,Other,Advanced,Muscle Gain,Dumbbells,Advanced Strength Training
23,38,Other,Beginner,Endurance,Treadmill,Walking
24,59,Male,Beginner,Flexibility,Treadmill,Basic Yoga
25,40,Female,Beginner,Weight Loss,Dumbbells,Light Cardio
26,55,Other,Advanced,Endurance,Resistance Bands,Running
27,61,Female,Intermediate,Muscle Gain,Resistance Bands,Strength Training
28,34,Other,Advanced,Weight Loss,Dumbbells,HIIT
29,20,Other,Intermediate,Muscle Gain,Resistance Bands,Strength Training
30,61,Male,Beginner,Muscle Gain,Treadmill,Bodyweight Training
31,35,Female,Beginner,Endurance,Dumbbells,Walking
32,22,Male,Intermediate,Weight Loss,None,Moderate Cardio
33,39,Other,Intermediate,Muscle Gain,Resistance Bands,Strength Training
34,46,Other,Beginner,Endurance,None,Walking
35,36,Male,Intermediate,Endurance,None,Jogging
36,22,Other,Intermediate,Muscle Gain,Resistance Bands,Strength Training
37,46,Male,Beginner,Endurance,None,Walking
38,19,Male,Intermediate,Muscle Gain,Resistance Bands,Strength Training
39,44,Female,Advanced,Endurance,Resistance Bands,Running
40,55,Other,Beginner,Muscle Gain,Dumbbells,Bodyweight Training
41,40,Other,Beginner,Weight Loss,Resistance Bands,Light Cardio
42,42,Other,Advanced,Endurance,None,Running
43,24,Female,Beginner,Endurance,Treadmill,Walking
44,54,Male,Beginner,Flexibility,Dumbbells,Basic Yoga
45,44,Other,Beginner,Weight Loss,Dumbbells,Light Cardio
46,25,Female,Intermediate,Muscle Gain,Dumbbells,Strength Training
47,34,Female,Intermediate,Flexibility,None,Intermediate Yoga
48,57,Female,Intermediate,Weight Loss,Treadmill,Moderate Cardio
49,19,Female,Beginner,Flexibility,Treadmill,Basic Yoga
50,32,Female,Beginner,Muscle Gain,None,Bodyweight Training
